scenario,scenario_function,n_seed,val_accuracy_mean,val_accuracy_std,val_macro_f1_mean,val_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_weighted_f1_mean,test_weighted_f1_std,mean_above_benchmark_accuracy_2021,mean_above_benchmark_f1_2021,all_seeds_above_benchmark_accuracy_2021,all_seeds_above_benchmark_f1_2021
A_official,literature-comparable evaluation,5,0.9537572254335259,0.0044685974304672586,0.9277303938191406,0.005569244645224584,0.9585263157894737,0.009050489342611252,0.9504279079912143,0.009992809769480644,0.9584579219484969,0.00900737854737428,True,True,True,True
B_G14,RAW source-aware leakage-controlled evaluation,5,0.9334517992003555,0.00485023334125496,0.9079637286681381,0.007327119825904143,0.9589069889647923,0.0038507768703228903,0.9600667382843302,0.004274796305062495,0.957696189996717,0.003955856525379819,True,True,True,True
A_clean_strict,strict duplicate hamming-0 sensitivity,3,0.9516822291388766,0.0017969995039250509,0.9249951052973189,0.0015091641919826473,0.9612280701754385,0.0076692957875068146,0.9535736431504103,0.011578431249944326,0.9609981850792283,0.007644955488109037,True,True,True,True
C_G09_Date_Magnification,stricter acquisition session-aware sensitivity evaluation,3,0.9453575547866205,0.005998455612086135,0.9195511756991134,0.012577025621502386,0.9463087248322147,0.010779872492421835,0.9228893445627223,0.016077230979387243,0.9456549741864122,0.010569915555583155,True,True,True,False
