protocol,method,class_name,mean_f1,std_f1,n_seeds
A_clean_strict,DenseNet201_TTA_Mixup,Ebola,0.9737046382433365,0.0038140370014900387,3
A_clean_strict,DenseNet201_TTA_Mixup,Influenza,0.985456641128212,0.0050203520254641695,3
A_clean_strict,DenseNet201_TTA_Mixup,Lassa,0.9502733237688886,0.005867055147479584,3
A_clean_strict,DenseNet201_TTA_Mixup,Marburg,0.9828785390854357,0.005616540492812052,3
A_clean_strict,DenseNet201_TTA_Mixup,Nipah virus,0.9029883107088988,0.039919069179111845,3
A_clean_strict,DenseNet201_TTA_Mixup,Norovirus,0.986051419822432,0.00906146061698205,3
A_clean_strict,DenseNet201_TTA_Mixup,Orf,0.9241184108781605,0.03838339634545578,3
A_clean_strict,DenseNet201_TTA_Mixup,Papilloma,1.0,0.0,3
A_clean_strict,DenseNet201_TTA_Mixup,Rift Valley,0.9769782848015316,0.0014299164991520875,3
A_clean_strict,DenseNet201_TTA_Mixup,Rotavirus,1.0,0.0,3
A_clean_strict,EffNetV2S_TTA_Mixup,Adenovirus,0.8928207336724118,0.034493941760261874,3
A_clean_strict,EffNetV2S_TTA_Mixup,Astrovirus,0.9819916517590936,0.0045444386125839354,3
A_clean_strict,EffNetV2S_TTA_Mixup,CCHF,0.9726858185134519,0.006555413453178889,3
A_clean_strict,EffNetV2S_TTA_Mixup,Cowpox,0.9263342478626025,0.027380867265822794,3
A_clean_strict,EffNetV2S_TTA_Mixup,Ebola,0.9555970189703835,0.005990498049346488,3
A_clean_strict,EffNetV2S_TTA_Mixup,Influenza,0.9768439395462618,0.010233299970011116,3
A_clean_strict,EffNetV2S_TTA_Mixup,Lassa,0.9440527459035186,0.003013511239968886,3
A_clean_strict,EffNetV2S_TTA_Mixup,Marburg,0.9598791909675982,0.014746406337975826,3
A_clean_strict,EffNetV2S_TTA_Mixup,Nipah virus,0.9322599526088721,0.053633638378706425,3
A_clean_strict,EffNetV2S_TTA_Mixup,Norovirus,0.99006748407946,0.0034160302496961943,3
A_clean_strict,EffNetV2S_TTA_Mixup,Orf,0.9243905999124217,0.04270965227356001,3
A_clean_strict,EffNetV2S_TTA_Mixup,Papilloma,0.9973333333333332,0.0,3
A_clean_strict,EffNetV2S_TTA_Mixup,Rift Valley,0.9741973058628798,0.007184571331546428,3
A_clean_strict,EffNetV2S_TTA_Mixup,Rotavirus,0.9917695473251028,0.007127781101106458,3
C_G09,DenseNet201_TTA_Mixup,Adenovirus,0.9018376099381685,0.029832167840381202,3
C_G09,DenseNet201_TTA_Mixup,Astrovirus,0.9929741619882465,0.0070423109177788264,3
C_G09,DenseNet201_TTA_Mixup,CCHF,0.9802993386703794,0.009069030891464705,3
C_G09,DenseNet201_TTA_Mixup,Cowpox,0.8984319283982313,0.006774028127320086,3
C_G09,DenseNet201_TTA_Mixup,Ebola,0.9644075252604583,0.005372962408223233,3
C_G09,DenseNet201_TTA_Mixup,Influenza,0.9823638286203717,0.0028466547758584683,3
C_G09,DenseNet201_TTA_Mixup,Lassa,0.8930295558785178,0.004393154755750042,3
C_G09,DenseNet201_TTA_Mixup,Marburg,0.9911562095404515,0.005908357719542924,3
C_G09,DenseNet201_TTA_Mixup,Nipah virus,0.5734549138804458,0.02134884245765497,3
C_G09,DenseNet201_TTA_Mixup,Norovirus,0.994035738047714,0.005952416524130701,3
C_G09,DenseNet201_TTA_Mixup,Orf,0.9836394660242899,0.006953932781567353,3
C_G09,DenseNet201_TTA_Mixup,Papilloma,0.9983374896093101,0.001439776232392992,3
C_G09,DenseNet201_TTA_Mixup,Rift Valley,0.9560196958756793,0.00649579619537086,3
C_G09,DenseNet201_TTA_Mixup,Rotavirus,0.9733542319749215,0.0067870329450190345,3
C_G09,EffNetV2S_TTA_Mixup,Adenovirus,0.8842777470098425,0.02085407324232862,3
C_G09,EffNetV2S_TTA_Mixup,Astrovirus,0.9882129657376885,0.01082276154692384,3
C_G09,EffNetV2S_TTA_Mixup,CCHF,0.9651606948994118,0.01528062599082135,3
C_G09,EffNetV2S_TTA_Mixup,Cowpox,0.9313711534787438,0.009244044869340315,3
C_G09,EffNetV2S_TTA_Mixup,Ebola,0.9683966260869273,0.0016761283339613658,3
C_G09,EffNetV2S_TTA_Mixup,Influenza,0.9852910384511612,0.0050394334253481814,3
C_G09,EffNetV2S_TTA_Mixup,Lassa,0.8999393839174932,0.008867894367277137,3
C_G09,EffNetV2S_TTA_Mixup,Marburg,0.9891546965678422,0.003456733315176425,3
C_G09,EffNetV2S_TTA_Mixup,Nipah virus,0.5415873015873016,0.02668933277077293,3
C_G09,EffNetV2S_TTA_Mixup,Norovirus,0.9901145862684325,0.009046384887276075,3
C_G09,EffNetV2S_TTA_Mixup,Orf,0.975706499590654,0.011899744596472419,3
C_G09,EffNetV2S_TTA_Mixup,Papilloma,0.999168744804655,0.001439776232392992,3
C_G09,EffNetV2S_TTA_Mixup,Rift Valley,0.9562799375943151,0.005022276829669734,3
C_G09,EffNetV2S_TTA_Mixup,Rotavirus,0.99625468164794,0.006487081676287945,3
