protocol,display_name,n_seeds,baseline_accuracy_mean,baseline_accuracy_std,baseline_macro_f1_mean,baseline_macro_f1_std,densenet_accuracy_mean,densenet_accuracy_std,densenet_macro_f1_mean,densenet_macro_f1_std,effnet_accuracy_mean,effnet_accuracy_std,effnet_macro_f1_mean,effnet_macro_f1_std,ensemble_accuracy_mean,ensemble_accuracy_std,ensemble_macro_f1_mean,ensemble_macro_f1_std,ensemble_weighted_f1_mean,ensemble_weighted_f1_std,ensemble_best_seed_accuracy,ensemble_best_seed_macro_f1,ensemble_mean_acc_improvement_vs_best_single,ensemble_mean_f1_improvement_vs_best_single,beat_sikder_acc_count,beat_sikder_f1_count,hit_98_acc_count,strategies_used
A,Protocol A official,5,0.9585,0.0091,0.9504,0.01,0.9696842105263158,0.005336333412899586,0.9597690955422424,0.008343251561266297,0.9650526315789474,0.008732719382393759,0.9602415497282368,0.010403849161813479,0.9709473684210528,0.0052022794918532836,0.9640204376262643,0.007410959736607971,0.9706282419131146,0.005352062010079826,0.9768421052631578,0.9714734729925544,0.00010526315789471997,0.00019149011221879995,2,0,0,"{""geometric_mean"": 3, ""simple_average"": 1, ""max_confidence"": 1}"
B_G14,Protocol B-G14,5,0.9589,0.0039,0.9601,0.0043,0.9636363636363636,0.005516352484292528,0.9635284602257821,0.005033378000215459,0.9604834471886494,0.0055537688242208085,0.9615207550214334,0.005119727716442623,0.9662637940094587,0.004160973808687137,0.9677527922269548,0.004078675195034628,0.9650944434016724,0.004742399705902819,0.9721492380451918,0.9735042502707848,0.0021019442984761202,0.00281166697361608,0,0,0,"{""simple_average"": 3, ""max_confidence"": 2}"
A_clean_strict,Protocol A-clean strict,3,0.9612,0.0077,0.9536,0.0116,0.9728070175438598,0.003383737109120281,0.963035985873509,0.005206013413941104,0.9647368421052631,0.00708085476161768,0.9585873978798136,0.008371566129004615,0.9715789473684211,0.000526315789473708,0.9654118892690596,0.001865000148654918,0.9712987743477122,0.0006029506985452734,0.9721052631578948,0.967337771445862,-0.0024561403508771666,-0.0011332232077701668,0,0,0,"{""max_confidence"": 2, ""geometric_mean"": 1}"
C_G09,Protocol C-G09,3,0.9463,0.0108,0.9229,0.0161,0.9595594562037514,0.0015772072603531368,0.9345244066933703,0.003248672644189492,0.9600757184649802,0.0020864490884498874,0.9336368612601721,0.00045412710803624637,0.963345379452762,0.0015487867836859737,0.9398178148859607,0.0026926748450987704,0.9612541139322189,0.0014663323211537543,0.964894166236448,0.942354706240593,0.0027533987265530003,0.004758781097429333,0,0,0,"{""geometric_mean"": 2, ""max_confidence"": 1}"
