seed,C_G09_test_accuracy,A_official_test_accuracy,delta_test_accuracy,C_G09_test_macro_f1,A_official_test_macro_f1,delta_test_macro_f1,C_G09_test_weighted_f1,A_official_test_weighted_f1,delta_test_weighted_f1
42,0.9514713474445018,0.9657894736842105,-0.01431812623970874,0.9285133006349382,0.9587488345462544,-0.03023553391131617,0.9501737438733345,0.9657117592127763,-0.015538015339441769
123,0.9535363964894166,0.9673684210526315,-0.013832024563214973,0.935399105805753,0.9622628021126091,-0.026863696306856033,0.9532143802684964,0.9673643481198185,-0.014149967851322165
456,0.9339184305627258,0.9521052631578948,-0.018186832595168956,0.9047556272474753,0.9425145171340571,-0.037758889886581826,0.9335767984174056,0.9516855684880677,-0.01810877007066214
MEAN,,,-0.015445661132697555,,,-0.031619373368251345,,,-0.015932251087142024
