seed,C_G09_test_accuracy,B_G14_test_accuracy,delta_test_accuracy,C_G09_test_macro_f1,B_G14_test_macro_f1,delta_test_macro_f1,C_G09_test_weighted_f1,B_G14_test_weighted_f1,delta_test_weighted_f1
42,0.9514713474445018,0.9579611140304782,-0.006489766585976442,0.9285133006349382,0.9595699980986748,-0.031056697463736627,0.9501737438733345,0.9567929333521559,-0.006619189478821341
123,0.9535363964894166,0.9637414608512874,-0.010205064361870853,0.935399105805753,0.9645162323365859,-0.02911712653083287,0.9532143802684964,0.9624993716011006,-0.009284991332604187
456,0.9339184305627258,0.9590120861797162,-0.025093655616990396,0.9047556272474753,0.9604954506949348,-0.055739823447459536,0.9335767984174056,0.9580592333880475,-0.024482434970641953
MEAN,,,-0.013929495521612564,,,-0.038637882480676344,,,-0.013462205260689161
