seed,A_clean_strict_test_accuracy,A_official_test_accuracy,delta_test_accuracy,A_clean_strict_test_macro_f1,A_official_test_macro_f1,delta_test_macro_f1,A_clean_strict_test_weighted_f1,A_official_test_weighted_f1,delta_test_weighted_f1
42,0.9526315789473684,0.9657894736842105,-0.013157894736842146,0.9402439924844069,0.9587488345462544,-0.018504842061847437,0.9524297503235253,0.9657117592127763,-0.013282008889251018
123,0.9636842105263158,0.9673684210526315,-0.0036842105263157343,0.9611331081043907,0.9622628021126091,-0.0011296940082183848,0.9634434384027505,0.9673643481198185,-0.003920909717068044
456,0.9673684210526315,0.9521052631578948,0.015263157894736756,0.9593438288624332,0.9425145171340571,0.016829311728376095,0.9671213665114089,0.9516855684880677,0.015435798023341163
MEAN,,,-0.000526315789473708,,,-0.0009350747805632423,,,-0.0005890401943259663
